Macroscopic Cross Section,Inverse Cross Section,Mean Free Path,Variance,Standard Deviation,Coefficient of Variation
6000.000000,0.000167,0.000173,0.000000,0.000169,0.980530
7000.000000,0.000143,0.000147,0.000000,0.000142,0.963746
8000.000000,0.000125,0.000117,0.000000,0.000120,1.027081
9000.000000,0.000111,0.000109,0.000000,0.000110,1.014727
10000.000000,0.000100,0.000096,0.000000,0.000103,1.063014
20000.000000,0.000050,0.000049,0.000000,0.000048,0.982739
30000.000000,0.000033,0.000034,0.000000,0.000034,0.997639
40000.000000,0.000025,0.000025,0.000000,0.000026,1.038832
50000.000000,0.000020,0.000021,0.000000,0.000021,1.002197
60000.000000,0.000017,0.000017,0.000000,0.000016,0.964361
70000.000000,0.000014,0.000014,0.000000,0.000014,1.025975
80000.000000,0.000013,0.000012,0.000000,0.000012,0.973108
90000.000000,0.000011,0.000011,0.000000,0.000011,0.964698
